,phonetics_id,names,phonetics
709,7148,erkki,AIR-kee
710,1723,goff, GAHF
711,4238,vohor, VOH-hohr
712,21113,niinistö,NEE-nees-toh
713,14146,bar??,bah-ruhsh
714,9698,nasrin,nahs-REEN
715,7600,bahaji,bah-HAH-jee
716,2664,martsev, MAHRT-sehv
717,16840,georgette,jor-zheht
718,18944,katarzyna ,kah-tahr-zih-nah
719,2813,mirdamadi, meer-dah-mah-DEE
720,12089,nirmal,NEER-mal
721,16482,fiannaidh ,fee-uhn-ee
722,11241,kajal,Ka-jal
723,12583,gum-sil,KUHM-(S)CHIHL
724,14129,baozhai,Bow-Zhigh
725,25339,xavier,Zah-vee-ay
726,5541,mouloud,muh-LOOD
727,3609,salih, sah-LIH
728,25988,zsófia,zsho-fee-ah
729,10701,tarlev,TAHR-lehv
730,17316,hamsini,Hahm-see-nee
731,9519,milutinovic,mee-loo-TEE-noh-vihch
732,8292,fedotov,feh-DAW-tawf
733,22268,quanchai,kwan-CHAI
734,4460,atiku,ah-TEE-koo
735,18689,justina,yoo-STEE-nah
